ch_i,ch_j,idx_i,idx_j,raw,pruned,diff
FC2,PO7,20,49,1,0,-1
FC2,PO4,20,53,1,0,-1
F3,FPz,10,48,1,0,-1
F3,O2,10,52,1,0,-1
F3,Fz,10,57,1,0,-1
F1,T4,11,31,1,0,-1
F5,T6,9,47,1,0,-1
F5,FPz,9,48,1,0,-1
F7,TP7,8,32,1,0,-1
F7,P2,8,44,1,0,-1
F7,PO7,8,49,1,0,-1
F3,F2,10,12,1,0,-1
F3,FC6,10,22,1,0,-1
F5,FC5,9,17,1,0,-1
F5,FC6,9,22,1,0,-1
FT8,Cz,23,59,1,0,-1
T3,C3,24,26,1,1,0
FC4,P5,21,41,1,0,-1
FC4,PO8,21,54,1,0,-1
FC4,AFz,21,56,1,0,-1
FC4,Cz,21,59,1,0,-1
FC6,TP8,22,39,1,0,-1
T3,Cz,24,59,1,0,-1
F7,PO8,8,54,1,0,-1
F5,F2,9,12,1,0,-1
A2,P3,7,42,1,0,-1
A2,PO8,7,54,1,0,-1
A2,FCz,7,58,1,0,-1
F7,F6,8,14,1,0,-1
C5,TP7,25,32,1,0,-1
FT8,CP4,23,37,1,0,-1
FT8,T5,23,40,1,0,-1
FT8,P6,23,46,1,0,-1
FT8,O1,23,51,1,0,-1
F5,FT8,9,23,1,0,-1
F5,C2,9,28,1,0,-1
F5,T5,9,40,1,0,-1
F5,P3,9,42,1,0,-1
C1,PO8,27,54,1,0,-1
C5,Fz,25,57,1,1,0
C3,C6,26,30,1,0,-1
C3,CP6,26,38,1,0,-1
C3,P5,26,41,1,0,-1
C3,P3,26,42,1,0,-1
C3,P2,26,44,1,1,0
C3,PO3,26,50,1,0,-1
C3,O1,26,51,1,0,-1
T3,T4,24,31,1,0,-1
T3,TP7,24,32,1,0,-1
T3,CP4,24,37,1,0,-1
T3,T6,24,47,1,0,-1
T3,PO3,24,50,1,0,-1
T3,PO4,24,53,1,0,-1
T3,PO8,24,54,1,0,-1
A2,FT7,7,16,1,1,0
A2,C1,7,27,1,1,0
A2,C2,7,28,1,0,-1
AF4,PO4,5,53,1,0,-1
AF8,F3,6,10,1,0,-1
AF8,F1,6,11,1,0,-1
F7,FC3,8,18,1,0,-1
F7,FC2,8,20,1,0,-1
F7,C3,8,26,1,1,0
AF8,C3,6,26,1,0,-1
AF8,T4,6,31,1,0,-1
AF8,TP7,6,32,1,0,-1
AF8,CP3,6,34,1,0,-1
AF8,CP6,6,38,1,0,-1
C1,O1,27,51,1,0,-1
C1,O2,27,52,1,0,-1
C2,FPz,28,48,1,1,0
AF8,F4,6,13,1,0,-1
AF8,F6,6,14,1,0,-1
AF8,FC5,6,17,1,0,-1
AF8,FC3,6,18,1,0,-1
AF8,FC2,6,20,1,0,-1
AF8,FC4,6,21,1,0,-1
AF4,F5,5,9,1,0,-1
AF4,F2,5,12,1,0,-1
AF4,F8,5,15,1,0,-1
AF4,FC3,5,18,1,0,-1
C2,Fz,28,57,1,0,-1
C2,FCz,28,58,1,0,-1
AF8,FPz,6,48,1,0,-1
AF8,Oz,6,55,1,0,-1
AF8,Cz,6,59,1,0,-1
C4,PO8,29,54,1,0,-1
C4,Fz,29,57,1,0,-1
C4,FCz,29,58,1,0,-1
AF4,FT8,5,23,1,0,-1
AF4,T4,5,31,1,0,-1
AF4,CP3,5,34,1,0,-1
