Subject,bAcc,CONCR,AZIONE,STATO,ASTRATTO
P070,0.3931277056277056,0.4444444444444444,0.2222222222222222,0.42857142857142855,0.4772727272727273
P006,0.35168269230769234,0.4375,0.3333333333333333,0.5333333333333333,0.10256410256410256
P016,0.32545695045695044,0.05555555555555555,0.5925925925925926,0.38095238095238093,0.2727272727272727
P032,0.3233225108225108,0.2222222222222222,0.1111111111111111,0.6190476190476191,0.3409090909090909
P033,0.31595719095719094,0.6111111111111112,0.18518518518518517,0.2857142857142857,0.18181818181818182
P051,0.3151755651755651,0.7222222222222222,0.25925925925925924,0.14285714285714285,0.13636363636363635
P013,0.3141835016835017,0.16666666666666666,0.7037037037037037,0.0,0.38636363636363635
P011,0.3126503126503127,0.3333333333333333,0.25925925925925924,0.47619047619047616,0.18181818181818182
P036,0.31195887445887444,0.2222222222222222,0.4444444444444444,0.2857142857142857,0.29545454545454547
P042,0.3118386243386243,0.05555555555555555,0.037037037037037035,0.9047619047619048,0.25
P052,0.3026695526695527,0.2777777777777778,0.0,0.5238095238095238,0.4090909090909091
P062,0.2973184223184223,0.0,0.14814814814814814,0.9047619047619048,0.13636363636363635
P039,0.29617604617604615,0.0,0.4444444444444444,0.2857142857142857,0.45454545454545453
P054,0.2944324194324194,0.05555555555555555,0.14814814814814814,0.42857142857142855,0.5454545454545454
P019,0.29404160654160655,0.7777777777777778,0.18518518518518517,0.19047619047619047,0.022727272727272728
P053,0.29133597883597884,0.0,0.2962962962962963,0.6190476190476191,0.25
P067,0.2899230399230399,0.0,0.5925925925925926,0.47619047619047616,0.09090909090909091
P004,0.27134439634439633,0.1111111111111111,0.37037037037037035,0.2857142857142857,0.3181818181818182
P020,0.2677970177970178,0.05555555555555555,0.7407407407407407,0.047619047619047616,0.22727272727272727
P026,0.267015392015392,0.0,0.14814814814814814,0.23809523809523808,0.6818181818181818
P049,0.2661135161135161,0.0,0.9259259259259259,0.047619047619047616,0.09090909090909091
P015,0.2658128908128908,0.3333333333333333,0.07407407407407407,0.42857142857142855,0.22727272727272727
P034,0.2626262626262626,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2727272727272727
P009,0.260040885040885,0.0,0.5185185185185185,0.47619047619047616,0.045454545454545456
P040,0.25925925925925924,0.0,0.37037037037037035,0.6666666666666666,0.0
P000,0.2569444444444444,0.0,0.1111111111111111,0.6666666666666666,0.25
P068,0.2542989417989418,0.1111111111111111,0.37037037037037035,0.2857142857142857,0.25
P014,0.25255531505531503,0.0,0.07407407407407407,0.09523809523809523,0.8409090909090909
P066,0.25249518999519,0.6666666666666666,0.037037037037037035,0.23809523809523808,0.06818181818181818
P044,0.25225468975468973,0.05555555555555555,0.3333333333333333,0.14285714285714285,0.4772727272727273
P028,0.2522246272246272,0.16666666666666666,0.7037037037037037,0.047619047619047616,0.09090909090909091
P035,0.2507515632515633,0.3888888888888889,0.4074074074074074,0.047619047619047616,0.1590909090909091
P055,0.24966931216931215,0.16666666666666666,0.2962962962962963,0.2857142857142857,0.25
P060,0.24855699855699853,0.3333333333333333,0.1111111111111111,0.09523809523809523,0.45454545454545453
P048,0.24771524771524772,0.0,0.25925925925925924,0.09523809523809523,0.6363636363636364
P029,0.24455868205868203,0.0,0.14814814814814814,0.7619047619047619,0.06818181818181818
P059,0.24377705627705626,0.6666666666666666,0.0,0.2857142857142857,0.022727272727272728
P057,0.24221380471380471,0.16666666666666666,0.037037037037037035,0.3333333333333333,0.4318181818181818
P038,0.24068061568061566,0.1111111111111111,0.48148148148148145,0.14285714285714285,0.22727272727272727
P002,0.24028980278980278,0.4444444444444444,0.07407407407407407,0.23809523809523808,0.20454545454545456
P023,0.23938792688792687,0.0,0.2962962962962963,0.047619047619047616,0.6136363636363636
P045,0.23887686387686385,0.6666666666666666,0.14814814814814814,0.09523809523809523,0.045454545454545456
P012,0.23674242424242423,0.3888888888888889,0.1111111111111111,0.3333333333333333,0.11363636363636363
P008,0.23656774079140702,0.29411764705882354,0.037037037037037035,0.15,0.46511627906976744
P001,0.23355579605579604,0.5,0.037037037037037035,0.23809523809523808,0.1590909090909091
P031,0.23337542087542085,0.3333333333333333,0.25925925925925924,0.0,0.3409090909090909
P010,0.23075998075998078,0.1111111111111111,0.037037037037037035,0.047619047619047616,0.7272727272727273
P064,0.23054954304954306,0.0,0.18518518518518517,0.7142857142857143,0.022727272727272728
P017,0.23054954304954306,0.05555555555555555,0.2962962962962963,0.047619047619047616,0.5227272727272727
P005,0.2300084175084175,0.1111111111111111,0.4074074074074074,0.3333333333333333,0.06818181818181818
P037,0.2300084175084175,0.6666666666666666,0.18518518518518517,0.0,0.06818181818181818
P046,0.2291967291967292,0.16666666666666666,0.18518518518518517,0.42857142857142855,0.13636363636363635
P071,0.22838504088504089,0.4444444444444444,0.07407407407407407,0.19047619047619047,0.20454545454545456
P041,0.22510822510822512,0.1111111111111111,0.2222222222222222,0.47619047619047616,0.09090909090909091
P050,0.2220117845117845,0.1111111111111111,0.14814814814814814,0.3333333333333333,0.29545454545454547
P007,0.2173220298220298,0.0,0.037037037037037035,0.8095238095238095,0.022727272727272728
P022,0.21623977873977876,0.5555555555555556,0.14814814814814814,0.047619047619047616,0.11363636363636363
P027,0.21473665223665223,0.16666666666666666,0.1111111111111111,0.2857142857142857,0.29545454545454547
P025,0.21413540163540162,0.4444444444444444,0.2962962962962963,0.047619047619047616,0.06818181818181818
P058,0.2134139009139009,0.05555555555555555,0.07407407407407407,0.42857142857142855,0.29545454545454547
P018,0.2121212121212121,0.6666666666666666,0.0,0.0,0.18181818181818182
P021,0.2065897065897066,0.05555555555555555,0.037037037037037035,0.14285714285714285,0.5909090909090909
P061,0.2040945165945166,0.5555555555555556,0.0,0.23809523809523808,0.022727272727272728
P030,0.20232082732082732,0.2222222222222222,0.07407407407407407,0.2857142857142857,0.22727272727272727
P024,0.20217051467051467,0.0,0.037037037037037035,0.47619047619047616,0.29545454545454547
P043,0.19378306878306878,0.16666666666666666,0.037037037037037035,0.5714285714285714,0.0
P065,0.19324194324194321,0.2777777777777778,0.25925925925925924,0.19047619047619047,0.045454545454545456
P047,0.19215969215969214,0.2777777777777778,0.25925925925925924,0.09523809523809523,0.13636363636363635
P056,0.18265993265993263,0.2777777777777778,0.07407407407407407,0.3333333333333333,0.045454545454545456
P072,0.1793229918229918,0.05555555555555555,0.4074074074074074,0.09523809523809523,0.1590909090909091
P003,0.17772967772967774,0.0,0.14814814814814814,0.38095238095238093,0.18181818181818182
P063,0.17069504569504568,0.2777777777777778,0.037037037037037035,0.09523809523809523,0.2727272727272727
P069,0.1488095238095238,0.3888888888888889,0.1111111111111111,0.09523809523809523,0.0
