subj,var_img,n_img,var_read,n_read,var_rest,n_rest
0,39.14372634887695,550,161.5571746826172,550.0,109.8132553100586,140.0
1,18.894489288330078,550,98.41968536376953,550.0,65.46060180664062,140.0
2,11.002608299255371,550,584.1092529296875,550.0,943.6495361328125,140.0
3,21.53126335144043,550,49.04315185546875,550.0,102.97598266601562,140.0
4,30.318344116210938,550,260.8660583496094,550.0,289.1174621582031,140.0
5,30.294145584106445,440,42.646663665771484,440.0,70.00723266601562,112.0
6,28.61733627319336,415,148.3837890625,416.0,886.6453247070312,206.0
7,23.61264419555664,550,153.55523681640625,550.0,159.04931640625,270.0
8,26.676393508911133,547,160.03182983398438,550.0,1678.8216552734375,270.0
9,41.271087646484375,550,4980.1376953125,550.0,3948.96484375,140.0
10,26.62860679626465,550,58.096397399902344,550.0,68.73101806640625,140.0
11,46.60851287841797,547,438.8536682128906,548.0,9445.0234375,140.0
12,40.53726577758789,550,542.4288940429688,550.0,523.5687866210938,140.0
13,28.667503356933594,550,1259.2633056640625,550.0,1584.61474609375,140.0
14,33.55909729003906,550,979.4696655273438,550.0,1039.6165771484375,140.0
15,18.76729965209961,440,199.2602081298828,440.0,586.6434326171875,112.0
16,35.75117874145508,440,51.17585754394531,440.0,55.01588439941406,112.0
17,67.34640502929688,550,75.95166015625,550.0,258.9616394042969,270.0
18,36.62253189086914,462,129.14247131347656,462.0,147.17007446289062,216.0
19,26.94389533996582,550,150.58522033691406,550.0,70.12633514404297,270.0
20,65.26776885986328,660,341.7074890136719,660.0,750.906494140625,324.0
21,23.92017936706543,440,519.73291015625,440.0,1942.345947265625,216.0
22,126.76264953613281,550,144.12258911132812,550.0,253.3316650390625,270.0
23,86.80018615722656,550,89.77444458007812,550.0,110.63240814208984,270.0
24,20.24809455871582,440,114.45203399658203,440.0,91.63691711425781,216.0
25,30.660839080810547,550,53.942138671875,550.0,82.92810821533203,270.0
26,16.502361297607422,550,69.43240356445312,550.0,89.31244659423828,270.0
27,24.203617095947266,440,500.4150390625,440.0,964.8175659179688,216.0
28,34.01189041137695,474,61.05033874511719,474.0,163.53016662597656,224.0
29,28.266929626464844,550,113.68467712402344,550.0,421.8224182128906,270.0
30,25.874183654785156,550,36.51818084716797,550.0,34.81480026245117,270.0
31,27.254650115966797,550,38.82406234741211,550.0,47.15217208862305,270.0
32,44.91803741455078,550,103.49929809570312,550.0,102.786376953125,270.0
33,27.535003662109375,550,90.24819946289062,550.0,65.60175323486328,270.0
34,32.38289260864258,550,108.94969177246094,550.0,115.0541763305664,270.0
35,15.822250366210938,550,103.4786605834961,550.0,152.93649291992188,270.0
36,48.124263763427734,330,185.61532592773438,330.0,130.25033569335938,162.0
37,52.2591438293457,550,91.53023529052734,550.0,166.61900329589844,270.0
38,25.477214813232422,550,44.672088623046875,550.0,352.68505859375,270.0
39,46.72940444946289,550,901.090576171875,550.0,1642.0289306640625,270.0
40,37.1395263671875,550,133.11029052734375,550.0,782.4797973632812,270.0
41,48.20197296142578,440,50.23521041870117,440.0,604.8368530273438,216.0
42,22.714733123779297,440,24.843156814575195,440.0,51.17092514038086,216.0
43,11.683859825134277,550,29.949371337890625,584.0,344.4786682128906,280.0
44,18.95741081237793,550,24.51764678955078,550.0,1311.745361328125,270.0
45,16.571083068847656,550,22.082992553710938,550.0,37.951629638671875,270.0
46,27.93033218383789,468,1081.3809814453125,473.0,47.2709846496582,216.0
47,36.188819885253906,550,98.33181762695312,550.0,125.02155303955078,270.0
48,32.937599182128906,550,441.86920166015625,550.0,2484.845703125,270.0
49,25.672164916992188,550,39.0127067565918,550.0,84.73126983642578,270.0
50,35.18164825439453,550,73.94003295898438,550.0,123.2735366821289,270.0
