Subject,Test bAcc,Top2 bAcc
P031,0.3181,0.5065
P037,0.3049,0.4352
P039,0.304,0.5088
P020,0.3028,0.423
P034,0.2932,0.5387
P025,0.2914,0.4003
P019,0.2884,0.4221
P040,0.2879,0.4449
P015,0.2868,0.5459
P006,0.2841,0.5016
P005,0.2838,0.516
P051,0.2792,0.4592
P024,0.2787,0.4066
P021,0.2767,0.4263
P050,0.2715,0.5429
P029,0.2704,0.4377
P001,0.27,0.54
P030,0.2694,0.5387
P062,0.2683,0.4335
P048,0.2664,0.4335
P003,0.2647,0.4024
P054,0.2618,0.476
P036,0.2605,0.4933
P035,0.2593,0.5185
P065,0.2593,0.5185
P004,0.258,0.516
P063,0.2577,0.4916
P045,0.2565,0.513
P049,0.2559,0.5118
P010,0.2555,0.4634
P012,0.2524,0.3566
P011,0.2515,0.5029
P016,0.2508,0.5017
P070,0.2502,0.3455
P018,0.25,0.5
P009,0.25,0.5
P007,0.25,0.5
P056,0.2483,0.4251
P061,0.2473,0.4945
P022,0.2465,0.4137
P058,0.2458,0.4916
P013,0.2443,0.4886
P059,0.2443,0.4886
P002,0.2443,0.4886
P032,0.2443,0.4886
P047,0.2443,0.4886
P041,0.244,0.4364
P055,0.2424,0.33
P033,0.2421,0.3611
P014,0.2419,0.4322
P008,0.2384,0.4767
P072,0.2365,0.4731
P042,0.2323,0.4646
P068,0.2317,0.4634
P067,0.231,0.3826
P066,0.2292,0.4306
P028,0.2287,0.4575
P057,0.2251,0.4263
P052,0.2251,0.4263
P043,0.2244,0.3455
P053,0.2244,0.3695
P044,0.2235,0.3994
P026,0.2235,0.3624
P060,0.2183,0.3611
P038,0.2128,0.3885
P071,0.2115,0.3952
P017,0.2032,0.2517
P027,0.2029,0.4057
P023,0.1966,0.29
P069,0.1966,0.29
P000,0.1926,0.3203
P064,0.1919,0.3085
P046,0.1904,0.2816
