metric,variant,val_bacc,test_bacc
pcc,pruned,0.26395622895622894,0.25726556692465785
abs_pcc,pruned,0.2556487493987494,0.25217179005057794
im_pcc,pruned,0.26265873015873015,0.2432058682058682
wpli,pruned,0.2572474747474747,0.2529812008978676
plv,pruned,0.2584054834054834,0.24542093008002097
