metric,variant,val_bacc,test_bacc
pcc,pruned,0.26343374218374216,0.24572109988776655
abs_pcc,pruned,0.2638257575757576,0.24375564811170874
im_pcc,pruned,0.2650318662818663,0.25428482151966997
wpli,pruned,0.2687722462722463,0.2483825447840599
plv,pruned,0.264237012987013,0.25163613042400923
