epoch,tr_loss,tr_bacc,vl_loss,vl_bacc
1,1.420266796442683,0.24391645278808266,1.3919503948038274,0.24667388167388166
2,1.394522276767208,0.2471125764404417,1.3890713816556064,0.2548809523809524
3,1.392778473916397,0.24918367544817804,1.3910946926637129,0.25132876382876385
4,1.393053406242893,0.24782627339066937,1.3920221734480425,0.2486976911976912
5,1.3904029736353785,0.2509374409896785,1.388223623449152,0.25185906685906684
6,1.3887482756310288,0.2521073726797778,1.38762586628307,0.24972222222222223
7,1.3870137877132462,0.2558237983707945,1.386835881319913,0.252267316017316
8,1.3866266689557396,0.2544320137087515,1.3867246039130472,0.2531752044252044
9,1.386436052688177,0.25202910677604845,1.3867409229278564,0.24840608465608466
10,1.3864773680828761,0.2563755431177955,1.3861410186940974,0.2560155122655122
11,1.3863898874346177,0.25555524495721593,1.3865948736017402,0.25439213564213564
12,1.3862860645064765,0.2531069372268128,1.3863272179690274,0.255275974025974
13,1.3863102710020943,0.25380440278331395,1.3861580214933915,0.25906084656084655
14,1.3862596906257736,0.25428168316778177,1.3869879606420343,0.2548550986050986
15,1.3862933939740325,0.2573952758464533,1.3868409082239324,0.25281746031746033
16,1.386352859682789,0.2566823138220211,1.3866095444939353,0.25033670033670036
17,1.3862712939518644,0.25399312034883736,1.386545766396956,0.2534469696969697
18,1.3864746864748247,0.25361904042557554,1.3862942972183228,0.2512175324675325
19,1.3864056167402161,0.253565048093537,1.3860169152346524,0.25722462722462724
20,1.386261257417261,0.2564460609016101,1.3864644306356257,0.25159271284271284
21,1.386175550308717,0.25217060875002917,1.3866222403266213,0.25251803751803753
22,1.3863579480947095,0.25546134592638026,1.3866345806988802,0.2425474987974988
23,1.3862330723000473,0.2558764102232019,1.386414490959861,0.2473039923039923
24,1.3861695977786377,0.2537783184358777,1.386714887532321,0.25653379028379025
25,1.3860679660892063,0.2573112913304388,1.387172076138583,0.2514009139009139
26,1.3863095355069175,0.2529017958726399,1.3864693597446789,0.2535191197691198
27,1.3861230327205043,0.25676813866171083,1.3867861583016134,0.2583333333333333
28,1.3858401297867353,0.25909052631011187,1.3867546677155929,0.25534451659451657
