epoch,tr_loss,tr_bacc,vl_loss,vl_bacc
1,1.4758776421188207,0.24846113568338477,1.39516806455092,0.25332732082732085
2,1.3983149241469839,0.2479783888880385,1.3917418259707364,0.2513612313612314
3,1.3966328014836933,0.24696357285418635,1.3870253560326316,0.24726430976430977
4,1.3953610435154478,0.2509258071415325,1.3882324940074573,0.2486868686868687
5,1.3941718871541533,0.24643844022030237,1.3889238290786743,0.2504575517075517
6,1.39242798309774,0.24724587072243098,1.392911488272927,0.2509126984126984
7,1.3926647031440862,0.2488280791499343,1.390516814405268,0.25000781625781626
8,1.3919676734926603,0.2510317288021379,1.3868516175530174,0.24970959595959594
9,1.390722410018056,0.25376923362306514,1.396643667047674,0.24762445887445889
10,1.3917547087318713,0.24745607688830343,1.388871810132807,0.24988636363636366
11,1.390677256257378,0.2511579573125901,1.434969803983515,0.24876984126984128
12,1.3928008600980146,0.2476849878587837,1.3940005357915706,0.250496632996633
13,1.3901445089085502,0.2425788178832718,1.393180887742476,0.25
14,1.3897251486904336,0.24936486373094857,1.387577833695845,0.2519444444444444
15,1.3882440004329928,0.2540805444000423,1.3866178167516534,0.25223484848484845
16,1.3884124600449395,0.24777020168448327,1.387982271974737,0.24958333333333332
