epoch,tr_loss,tr_bacc,vl_loss,vl_bacc
1,1.592636232482675,0.25465493680178586,1.3882893559715965,0.24998556998556998
2,1.410826466403424,0.25037927648995245,1.4086926938837225,0.24950757575757576
3,1.4067881052697284,0.24353583363949832,1.3872462667985397,0.2412782587782588
4,1.4032177219755313,0.2531200737556334,1.3889059325131503,0.2500084175084175
5,1.4058747801081062,0.2508605660231612,1.3890406249653209,0.2501605339105339
6,1.4048922082596669,0.2511046507241338,1.390515506657687,0.25005952380952384
7,1.4074016809967806,0.24885048091115652,1.3913908376693727,0.2513281625781626
8,1.4065354126830922,0.25085262422744536,1.386861172242598,0.2535563973063973
9,1.4044864722689427,0.2521779131947937,1.3950504137385975,0.25021885521885523
10,1.4014259846684693,0.2512498155272209,1.3978108764995227,0.24958513708513708
11,1.3969041255669727,0.24543643127515438,1.388393091548573,0.25
12,1.3914984309655658,0.2492596648892078,1.3867098499644885,0.25
13,1.3881421884629401,0.2531389404948279,1.3895226703123613,0.25106060606060604
14,1.3872712040572848,0.24717746254499856,1.386413519079035,0.25
15,1.38669164566717,0.24790041355064973,1.3863038000626997,0.25
16,1.386528348154505,0.24900585372563355,1.3863302562887019,0.25
17,1.3865155064151073,0.2468482467490206,1.3863206646659159,0.25
18,1.3866197418815231,0.2439490635783788,1.3862927754142067,0.2514556277056277
19,1.3871283811498476,0.24717237440552425,1.3866266449148004,0.24468253968253967
20,1.3877763702361243,0.2500868421815802,1.3888310237364336,0.25155483405483403
21,1.387255859981847,0.24976991593810494,1.3868361600529064,0.2498989898989899
22,1.3866529375039447,0.2479641017445835,1.3864410683025012,0.25
23,1.3868313830687062,0.2469643068061635,1.3882327546206388,0.2447089947089947
